anio;mes;INPC;INPCsuby;INPCviv
1998;1;45.26;46.85849811;50.43997746
1998;2;46.06;47.76471913;51.25908935
1998;3;46.60;48.29586664;51.87241648
1998;4;47.03;48.84787206;52.4659595
1998;5;47.41;49.37325384;53.01186454
1998;6;47.97;49.95635401;53.50560505
1998;7;48.43;50.34131855;53.9657662
1998;8;48.89;50.85965711;54.45509286
1998;9;49.69;51.8392194;55.17348281
1998;10;50.40;52.565713;55.87141358
1998;11;51.29;53.166919;56.42440299
1998;12;52.54;53.99780292;57.34657357
1999;1;53.87;55.29691371;58.27832884
1999;2;54.59;56.30798717;59.04423899
1999;3;55.10;57.19612811;59.93154905
1999;4;55.61;57.88114492;60.48808261
1999;5;55.94;58.44233184;61.08008003
1999;6;56.31;58.89660792;61.66525994
1999;7;56.68;59.28537432;62.12717517
1999;8;57.00;59.73372086;62.58180584
1999;9;57.55;60.46150604;63.02097389
1999;10;57.92;60.89621626;63.41722045
1999;11;58.43;61.28307058;63.74317074
1999;12;59.02;61.77787652;64.20687492
2000;1;59.81;62.57789183;64.96283658
2000;2;60.34;63.26642454;65.62788668
2000;3;60.67;63.67561248;66.00262118
2000;4;61.02;64.01018368;66.41805382
2000;5;61.25;64.29018972;66.77767345
2000;6;61.61;64.50600147;67.11393992
2000;7;61.85;64.72042275;67.35412951
2000;8;62.19;64.99095612;67.53565345
2000;9;62.64;65.49156236;67.73603803
2000;10;63.08;65.8339817;68.03217299
2000;11;63.61;66.25248219;68.32175017
2000;12;64.30;66.62567814;68.65581725
2001;1;64.66;67.12090834;69.20558362
2001;2;64.62;67.62711638;69.6626526
2001;3;65.03;68.0319511;70.04124316
2001;4;65.35;68.35967516;70.37506487
2001;5;65.50;68.6062271;70.65226869
2001;6;65.66;68.82643456;70.90271775
2001;7;65.49;68.93259121;71.1932834
2001;8;65.88;69.16243653;71.45849543
2001;9;66.49;69.68589442;71.80260583
2001;10;66.79;69.86153951;72.09645538
2001;11;67.04;70.02850274;72.32153755
2001;12;67.13;70.19623066;72.55525417
2002;1;67.75;70.54638324;73.01414969
2002;2;67.71;71.04547029;73.69035512
2002;3;68.06;71.33471323;74.08489214
2002;4;68.43;71.58908487;74.48200901
2002;5;68.57;71.72148331;74.84469502
2002;6;68.90;71.81218044;75.2093965
2002;7;69.10;71.90870972;75.52780782
2002;8;69.36;72.15098022;75.84768438
2002;9;69.78;72.62610973;76.16307214
2002;10;70.09;72.79547175;76.45242336
2002;11;70.65;72.93579749;76.71899179
2002;12;70.96;73.08758288;76.93209175
2003;1;71.25;73.41278417;77.31348363
2003;2;71.45;73.77708167;77.74731594
2003;3;71.90;74.07684693;78.11277881
2003;4;72.02;74.32775477;78.37335329
2003;5;71.79;74.52492942;78.61986739
2003;6;71.85;74.60605617;78.86714157
2003;7;71.95;74.70729652;79.04905969
2003;8;72.17;74.97479512;79.29822968
2003;9;72.60;75.33417161;79.53717293
2003;10;72.86;75.49586375;79.77762959
2003;11;73.47;75.69420838;79.94966703
2003;12;73.78;75.91319092;80.10482517
2004;1;74.24;76.2053658;80.37253151
2004;2;74.69;76.54880496;80.74228739
2004;3;74.94;76.82952497;81.23421174
2004;4;75.05;77.08258516;81.65217807
2004;5;74.86;77.26046159;81.93782976
2004;6;74.98;77.46596352;82.12676859
2004;7;75.18;77.60088855;82.30642589
2004;8;75.64;77.81654613;82.44897176
2004;9;76.27;78.26196831;82.66266252
2004;10;76.80;78.48674337;82.786656
2004;11;77.45;78.67314546;82.94002467
2004;12;77.61;78.892583;83.06666069
2005;1;77.62;79.18813741;83.28853652
2005;2;77.88;79.49559449;83.6008039
2005;3;78.23;79.72227122;83.71968171
2005;4;78.50;79.87383002;83.86510746
2005;5;78.31;80.02846457;83.96336114
2005;6;78.23;80.22273014;84.09104549
2005;7;78.54;80.38775429;84.26555305
2005;8;78.63;80.49871831;84.39333053
2005;9;78.95;80.88567783;84.62050001
2005;10;79.14;81.07874144;84.86255941
2005;11;79.71;81.24562168;85.03857328
2005;12;80.20;81.47517994;85.18835624
2006;1;80.67;81.65258954;85.49471463
2006;2;80.79;81.91946689;85.84697237
2006;3;80.90;82.24426895;86.26686589
2006;4;81.01;82.52340113;86.63715444
2006;5;80.65;82.63496785;86.99746927
2006;6;80.72;82.88460223;87.35755675
2006;7;80.94;83.0989189;87.57885401
2006;8;81.36;83.24370987;87.76523075
2006;9;82.18;83.69907222;87.91283474
2006;10;82.54;83.89246232;88.02130109
2006;11;82.97;84.11225657;88.14953151
2006;12;83.45;84.445131;88.36638213
2007;1;83.88;84.83716607;88.73008173
2007;2;84.12;85.15986681;89.11799162
2007;3;84.30;85.41082196;89.36354246
2007;4;84.25;85.57608403;89.60743031
2007;5;83.84;85.74534447;89.80021924
2007;6;83.94;85.99037808;89.93727657
2007;7;84.29;86.25155467;90.10755632
2007;8;84.64;86.48495409;90.3309737
2007;9;85.30;86.89862896;90.5601749
2007;10;85.63;87.18339661;90.69721891
2007;11;86.23;87.38112301;90.87312277
2007;12;86.59;87.71509352;91.02424099
2008;1;86.99;88.09551371;91.50485711
2008;2;87.25;88.47424693;92.03683006
2008;3;87.88;88.90565834;92.35125855
2008;4;88.08;89.25525504;92.70260484
2008;5;87.99;89.68081758;93.08765684
2008;6;88.35;90.10203526;93.35695956
2008;7;88.84;90.46364219;93.61852107
2008;8;89.35;90.83729716;93.83231795
2008;9;89.96;91.36752931;94.03525503
2008;10;90.58;91.62910016;94.42130249
2008;11;91.61;92.04627295;94.75532541
2008;12;92.24;92.57218379;94.86707625
2009;1;92.45;92.97877666;95.12327237
2009;2;92.66;93.41128959;95.6199271
2009;3;93.19;93.89251639;95.99694462
2009;4;93.52;94.28988351;96.0978836
2009;5;93.25;94.47743021;96.23204562
2009;6;93.42;94.71554379;96.36602144
2009;7;93.67;95.00557175;96.51370025
2009;8;93.90;95.15171706;96.6373339
2009;9;94.37;95.52791061;96.82830027
2009;10;94.65;95.83646376;96.97486678
2009;11;95.14;95.97428963;97.10771667
2009;12;95.54;96.42072229;97.37990407
2010;1;96.58;97.14525843;97.88779718
2010;2;97.13;97.54659441;98.2963243
2010;3;97.82;97.88889199;98.52273289
2010;4;97.51;97.99438282;98.6293597
2010;5;96.90;98.22288645;98.88022307
2010;6;96.87;98.35812361;99.09322061
2010;7;97.08;98.5630715;99.2342788
2010;8;97.35;98.65852448;99.38860178
2010;9;97.86;99.01558055;99.53049105
2010;10;98.46;99.20488545;99.65503304
2010;11;99.25;99.44002041;99.7811303
2010;12;99.74;99.86923991;99.94834469
2011;1;100.23;100.3258205;100.1740205
2011;2;100.60;100.7296057;100.3757485
2011;3;100.80;101.0302657;100.5899635
2011;4;100.79;101.1064594;100.7908919
2011;5;100.046;101.2864774;100.9932644
2011;6;100.04;101.4824684;101.1805439
2011;7;100.52;101.7104608;101.2912872
2011;8;100.68;101.8323463;101.39805
2011;9;100.93;102.1031889;101.5484596
2011;10;101.61;102.3678621;101.6963849
2011;11;102.71;102.6982145;101.8419384
2011;12;103.55;103.2179177;101.9828965
2012;1;104.28;103.680408;102.1658822
2012;2;104.50;104.1212769;102.3599279
2012;3;104.56;104.3757313;102.5422413
2012;4;104.23;104.5329411;102.7032325
2012;5;103.90;104.8105805;102.8747631
2012;6;104.38;105.0368504;103.0515007
2012;7;104.96;105.3639841;103.2254048
2012;8;105.28;105.600392;103.3775692
2012;9;105.74;105.7873451;103.5639164
2012;10;106.278;106.0282909;103.7282152
2012;11;107;106.0831222;103.9051644
