anio;mes;IGAE;IGAE_D;CRED;SIF;TIIE;Galquiler;TotalM1;DepCCorriente;DepVistaAhorroPrestamo;ActivosFinancieros
1998;1;86.16759846;88.56133167;64526.8;48.28037412;19.32;10902;308388142.95;30925277;385408.95;1016565194.09
1998;2;85.24874407;89.5947877;64857.4;48.97941429;21.12;11970;309189982.16;31989509;393917.16;1032318746.31
1998;3;91.63660111;90.76668275;62756.4;49.58087326;21.52;11010;312466113.05;31299860;398488.05;1060005050.43
1998;4;87.62456867;90.07099921;72148.1;49.96310273;19.515;11107;310436789.33;31997212;405847.33;1078318618.74
1998;5;89.65551006;90.11803036;70595.5;49.81694974;21.13;13734;322027714;34624853;375896;1110800712.36
1998;6;90.5957804;89.84295395;69291.3;50.24665705;23.24;14767;326365527;34400842;464457;1125998152.29
1998;7;91.8706185;90.66535461;70679.4;50.67176975;21.365;13404;328580344;35610413;412231;1147767045.76
1998;8;90.76039427;90.72026845;70638.1;51.06056298;38.3;13860;334701274;33739561;426567;1163263940.71
1998;9;89.74420688;90.61277269;69912.7;51.65458302;36.49;13421;326752443;32539188;414822;1199762534.13
1998;10;92.51545337;90.33980034;68770.2;52.57700974;35.25;14758;334024703;33312078;434749;1224276017.56
1998;11;92.73473116;90.69602615;72811;53.57316932;36.37;15018;349236679;34144544;449666;1246605943.56
1998;12;93.96116322;91.01860859;71422.6;54.18337997;34.68;15289;388240292.57;40948443;344730.57;1287350959.28
1999;1;88.63916788;91.96303378;73129.1;54.90057986;36.25;14607;367925605;39790811;522641;1307384097.09
1999;2;87.09824016;91.79693292;75478.8;55.61209117;29.75;13918;365724168;39291408;545543;1350572481.40
1999;3;93.99483214;92.31162676;74570.6;56.55639707;24.145;13946;366584451;39203594;572374;1397078866.19
1999;4;89.86399753;92.38524288;75027.5;57.00885875;22.09;13617;365155013;38930481;602491;1399994697.69
1999;5;92.6073591;92.96160564;76042.8;56.61744001;23.29;14331;383052814;40172157;655396;1431771397.25
1999;6;94.05240726;92.99201892;74572;57.09178088;22.93;14310;384307827;41311529;676809;1445799017.65
1999;7;94.85475138;93.90333842;65133;57.68842644;23.05;13139.2;390229271;44084484;702359;1485141336.42
1999;8;94.30110162;93.65285983;65952.2;58.116821;22.65;13359.7;394185781;41875893;712886;1501537774.96
1999;9;93.47729128;94.33432279;63012.9;58.65023569;21.845;13629.3;399178250;41884543;745949;1537682502.36
1999;10;95.94047073;94.53183463;61118.8;59.30989331;19.825;14012.1;412390991;42501630;773935;1542545199.16
1999;11;98.16052676;95.25907725;60364.4;60.50865421;19.585;13833.4;426010844;43390241;786020;1573522634.28
1999;12;98.87670905;96.07154323;59811.4;61.2855843;18.755;15168.5;489943401;48734949;810443;1558773342.86
2000;1;94.73947527;98.43170607;60107;61.96646473;19.11;17368.7;451515995;47322635;837415;1613299678.15
2000;2;94.47928633;96.13320911;59261;62.61649551;17.84;17528.9;446193162;47345058;833455;1641801559.59
2000;3;99.43955334;97.75401431;53636;63.12365516;14.685;17311.1;454976708;48144331;790160;1667505647.35
2000;4;94.62584886;98.51640043;53319.2;63.47284706;14.825;17248.6;457850684;50540795;861217;1686924480.64
2000;5;100.4583727;99.14902258;53319.2;63.20023233;17.025;16242.4;463893571;51168312;779550;1718168270.11
2000;6;100.8043141;99.64627602;48894.2;63.61462422;18;13504.6;486757934.97;53038749;744744.97;1725240753.43
2000;7;100.0892872;99.88118588;47849;64.01676376;14.46;11688.8;487734713;52779980;754815;1763540259.98
2000;8;101.921449;100.1078528;47053.3;64.45391;16.555;12007.9;477009880;51899135;742913;1774197925.79
2000;9;99.51315691;100.8978306;44453.1;64.88602403;16.97;11930.3;483268293;52949161;752890;1816771395.11
2000;10;102.3085484;100.372338;44432.7;65.88108966;18.16;10950.9;484286856;52419228;759622;1840064561.77
2000;11;102.7160402;99.82046621;45308;67.17414988;18.845;11454.4;510799609;56764552;753292;1844516931.06
2000;12;100.5559898;99.27373631;42854.1;67.7200357;18.855;10935.8;565014443;66321426;823631;1786271595.70
2001;1;96.52331943;98.84506459;40078.3;68.36043964;18.35;11055;525060432;60506069;848812;1827321353.88
