Anio;mes;X1  ;X2  ;X3  ;X4  ;X5  ;X6  ;X7  ;X8  ;X9  ;X10  ;X11  ;X12  ;X13  ;X14  ;X15  ;X16  ;X17  ;X18  ;X19  ;X20  ;X21  ;X22  ;X23  ;X24  ;X25  ;X26  ;X27  ;X28  ;X29  ;X30  ;X31  ;X32  
2000;1;101.85;127.00;120.87;121.43;108.46;101.28;89.43;109.18;174.46;80.91;93.60;100.07;101.72;113.74;133.88;102.38;116.61;86.78;132.81;90.78;115.04;131.22;101.50;107.36;89.60;99.79;104.03;111.97;102.08;104.98;86.82;80.83
2000;2;102.30;128.17;119.92;121.11;108.98;101.01;86.68;112.63;175.46;79.72;92.30;98.16;100.57;114.79;133.03;101.21;113.31;86.06;134.87;90.02;115.39;131.65;103.26;104.47;90.04;100.48;100.63;114.94;100.55;104.77;87.50;78.78
2000;3;106.77;128.12;119.50;123.34;109.66;102.33;88.28;113.13;177.15;80.33;93.75;98.74;102.08;115.12;135.30;102.07;116.43;87.63;137.04;92.03;113.26;133.08;104.57;105.43;90.78;102.15;101.44;119.09;102.54;107.13;87.86;78.40
2000;4;105.65;130.26;120.52;123.32;112.00;103.27;87.91;115.20;178.86;81.59;96.36;98.24;103.73;117.30;137.23;103.36;119.39;88.53;140.69;91.88;113.88;138.03;106.00;107.04;91.26;103.40;101.45;119.34;104.29;105.98;87.92;80.03
2000;5;106.19;129.44;124.20;126.03;114.14;107.08;91.06;115.20;182.88;82.93;97.18;101.89;105.42;119.35;140.27;104.84;123.37;90.45;141.19;94.54;117.77;139.06;107.65;110.49;92.06;106.86;102.77;120.12;103.21;108.84;90.74;81.96
2000;6;109.33;131.45;125.55;127.90;116.29;106.69;92.32;117.19;182.87;83.35;98.07;106.03;105.74;120.83;140.92;106.88;122.58;90.12;142.60;94.49;117.32;140.89;110.48;111.09;93.40;106.11;103.23;122.74;105.52;110.01;91.69;91.24
2000;7;109.63;130.34;125.63;126.91;115.46;106.29;90.75;115.52;182.52;83.06;97.74;102.67;105.72;120.48;139.16;105.43;121.81;89.16;142.78;93.93;115.72;139.22;107.53;109.70;92.58;105.92;101.10;120.49;106.00;108.71;90.50;82.62
2000;8;109.36;130.47;124.85;128.04;116.16;107.10;90.22;115.17;182.92;83.27;97.92;100.98;105.88;119.67;138.92;105.37;121.65;89.05;143.72;93.03;114.41;139.66;107.34;109.60;92.27;104.89;101.14;120.18;105.48;107.38;90.69;82.19
2000;9;110.82;131.81;125.58;128.62;116.50;106.64;91.13;117.06;183.76;84.37;98.86;102.92;106.09;120.31;139.95;107.96;122.51;89.42;144.42;94.17;117.23;140.18;108.71;110.25;92.49;105.84;102.23;121.39;106.47;107.81;90.98;83.25
2000;10;112.61;133.58;127.51;129.70;117.38;106.85;90.86;118.22;184.46;85.10;99.70;102.81;106.09;122.06;140.43;106.68;123.14;89.54;146.09;94.52;124.45;141.52;109.86;111.43;93.65;107.15;103.23;122.72;108.17;108.57;92.09;83.53
2000;11;113.05;134.74;129.07;131.72;118.06;106.95;90.63;119.63;184.91;85.92;100.40;102.07;107.48;121.84;140.70;106.20;122.90;89.09;146.85;94.60;123.60;142.00;108.75;111.86;94.00;107.79;102.68;123.27;108.44;108.16;92.04;83.26
2000;12;114.73;139.09;130.28;131.26;120.99;108.59;92.00;122.00;188.05;87.29;102.04;104.49;110.14;123.91;143.36;107.87;126.71;90.89;149.71;96.34;124.95;144.50;110.93;113.30;95.72;110.28;105.99;124.34;111.61;110.31;93.34;84.70
2001;1;121.98;142.19;137.14;140.51;126.10;116.17;101.16;127.35;198.82;94.51;108.66;114.10;114.37;131.16;151.82;115.37;134.71;96.73;155.30;104.57;133.80;149.61;116.45;123.57;101.71;114.82;116.07;128.15;118.74;118.95;100.74;89.91
2001;2;120.95;143.23;135.73;142.58;125.16;117.00;96.26;129.13;197.76;92.29;106.46;109.87;112.61;131.09;149.83;112.52;131.04;96.28;156.60;103.53;128.79;149.85;117.64;119.38;101.16;114.70;111.06;129.40;115.20;116.89;98.08;87.89
2001;3;123.42;144.23;136.01;143.96;127.39;117.34;96.96;129.48;199.20;94.14;108.09;110.06;114.50;131.78;151.30;112.95;133.15;97.42;158.75;102.09;129.86;152.00;118.89;120.44;102.33;115.99;111.94;133.07;116.16;118.22;99.90;89.05
