"SEMESTRE";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"X12";"X13";"X14";"X15";"X16";"X17";"X18";"X19";"X20";"X21";"X22";"X23";"X24";"X25";"X26";"X27";"X28";"X29";"X30";"X31";"X32";"anio";"trimestre"
"2012Q2";1231510;3285563;684687;846432;2830723;670335;4961215;3463329;8862881;1663335;5633506;3436402;2743182;7531137;15538435;4405635;1814969;1114546;4806100;3858844;5898495;1912727;1427011;2632464;2802167;2744367;2301083;3361867;1208645;7758274;2008893;1511827;"2012";"2"
"2012Q1";1225433;3268304;678303;843256;2819873;667780;4939539;3455868;8861173;1659327;5614170;3430160;2732894;7507375;15490826;4398423;1810006;1110653;4785961;3851371;5882873;1901585;1413469;2626280;2797615;2733598;2292852;3349575;1203512;7743168;2001864;1509056;"2012";"1"
"2011Q4";1219226;3251054;672005;840083;2808997;665109;4917745;3448302;8859244;1655328;5594699;3423734;2722566;7483501;15442747;4391130;1804977;1106701;4765778;3843781;5867101;1890303;1399881;2620083;2793101;2722733;2284623;3337217;1198394;7727841;1994869;1506261;"2011";"4"
"2011Q3";1213081;3233744;665634;836866;2798064;662500;4895919;3440688;8857188;1651273;5575128;3417339;2712170;7459528;15394535;4383769;1799967;1102756;4745531;3836122;5851324;1879047;1386473;2613759;2788423;2711884;2276308;3324823;1193262;7712364;1987769;1503370;"2011";"3"
"2011Q2";1206853;3216407;659333;833678;2787065;659836;4873955;3432937;8854883;1647092;5555392;3410836;2701735;7435230;15345783;4376188;1794838;1098856;4725099;3828364;5835272;1867812;1373072;2607416;2783662;2700975;2267912;3312334;1188055;7696646;1980594;1500489;"2011";"2"
"2011Q1";1200776;3199326;653180;830500;2776209;657262;4852314;3425255;8852332;1643057;5535872;3404305;2691419;7411299;15297493;4368762;1789837;1094916;4705061;3820653;5819414;1856761;1359967;2601086;2778898;2690194;2259666;3300002;1183049;7681003;1973560;1497583;"2011";"1"
"2010Q4";1194676;3182175;647042;827326;2765183;654616;4830511;3417417;8849455;1638874;5516176;3397723;2680961;7386970;15248679;4361040;1784696;1090979;4684777;3812771;5803303;1845596;1346887;2594667;2774090;2679250;2251303;3287532;1177887;7665039;1966355;1494666;"2010";"4"
"2010Q3";1188473;3164814;640880;824134;2754081;651943;4808446;3409381;8846250;1634651;5496198;3390902;2670396;7362340;15198983;4353138;1779515;1086921;4664295;3804620;5786848;1834429;1333765;2588096;2769106;2668160;2242852;3274934;1172696;7648672;1959155;1491629;"2010";"3"
"2010Q2";1182126;3147365;634721;820815;2742815;649227;4786081;3401184;8842494;1630298;5475871;3383871;2659640;7337215;15148448;4345022;1774211;1082893;4643513;3796356;5770121;1823140;1320645;2581367;2763933;2657006;2234226;3262079;1167386;7631853;1951824;1488464;"2010";"2"
"2010Q1";1175983;3130097;628694;817587;2731602;646554;4763955;3392998;8838360;1625965;5455717;3376823;2649044;7312211;15098146;4336735;1768900;1078818;4622976;3787990;5753329;1812044;1307877;2574717;2758725;2645917;2225705;3249359;1162237;7615002;1944514;1485441;"2010";"1"
"2009Q4";1171554;3108480;625240;815287;2725090;644654;4752451;3385403;8837203;1624684;5450155;3378282;2646099;7298784;15049673;4340407;1765754;1078232;4609500;3788583;5739859;1804487;1296004;2572134;2757908;2640455;2223172;3240037;1158607;7610956;1938513;1485947;"2009";"4"
"2009Q3";1167205;3086706;621824;813001;2718465;642720;4740814;3377664;8835882;1623313;5444373;3379739;2643063;7285156;15000629;4344029;1762580;1077610;4595941;3789061;5726135;1796851;1284120;2569422;2756994;2634873;2220625;3230631;1154877;7606813;1932522;1486456;"2009";"3"
"2009Q2";1162803;3064866;618314;810682;2711721;640808;4729040;3369873;8834522;1621925;5438541;3381212;2639982;7271299;14951033;4347593;1759339;1077013;4582207;3789514;5712372;1789127;1272158;2566685;2756009;2629175;2217961;3221166;1151113;7602566;1926541;1486909;"2009";"2"
"2009Q1";1158409;3043433;614886;808409;2705102;638886;4717343;3362107;8833125;1620499;5432686;3382549;2636903;7257568;14902020;4351112;1756152;1076407;4568647;3789949;5698596;1781615;1260475;2563923;2755046;2623595;2215434;3211790;1147327;7598289;1920625;1487340;"2009";"1"
"2008Q4";1154027;3021824;611426;806072;2698322;637041;4705630;3354199;8831653;1618996;5426702;3383812;2633811;7243599;14852569;4354596;1752892;1075803;4554934;3790391;5684709;1773954;1248672;2561070;2754033;2617791;2212782;3202240;1143611;7593918;1914607;1487703;"2008";"4"
"2008Q3";1149677;3000245;607941;803847;2691474;635014;4693799;3346206;8830108;1617587;5420618;3384975;2630704;7229563;14802478;4357978;1749642;1075123;4541068;3790682;5670729;1766325;1237067;2558279;2752950;2611931;2210061;3192636;1139892;7589416;1908709;1488208;"2008";"3"
"2008Q2";1145116;2978489;604418;801421;2684586;633096;4681741;3338031;8828540;1616069;5414491;3386182;2627524;7215360;14751884;4361480;1746336;1074461;4527155;3791004;5656578;1758662;1225308;2555269;2751846;2606054;2207354;3182952;1136000;7584857;1902678;1488517;"2008";"2"
"2008Q1";1140644;2957104;600999;799191;2677714;631181;4669881;3329925;8826906;1614564;5408206;3387260;2624299;7201043;14701618;4364830;1743022;1073794;4513257;3791239;5642411;1751102;1213722;2552444;2750598;2600241;2204789;3173381;1132280;7580226;1896771;1488792;"2008";"1"
"2007Q4";1136175;2935640;597487;796845;2670700;629242;4657802;3321623;8825288;1612907;5401867;3388314;2620954;7186575;14650895;4368113;1739689;1073100;4499322;3791409;5628240;1743365;1202200;2549400;2749481;2594312;2201924;3163701;1128465;7575476;1890792;1489177;"2007";"4"
"2007Q3";1131681;2914242;593968;794529;2663673;627281;4645742;3313357;8823610;1611252;5395413;3389215;2617784;7172048;14599770;4371400;1736370;1072436;4485238;3791457;5613762;1735737;1190747;2546296;2748196;2588236;2199237;3153935;1124685;7570625;1884815;1489430;"2007";"3"
"2007Q2";1127120;2892673;590464;792313;2656597;625307;4633437;3304671;8821824;1609631;5388844;3390156;2614448;7157364;14548057;4374523;1732935;1071517;4470971;3791538;5599181;1727982;1179218;2543117;2746908;2582181;2196428;3143880;1120660;7565635;1878807;1489608;"2007";"2"
"2007Q1";1122526;2871454;587004;789942;2649411;623349;4621182;3296332;8820073;1607961;5382083;3390851;2611066;7142771;14496811;4377654;1729536;1070973;4456879;3791582;5584732;1720469;1167859;2539984;2745619;2575952;2193660;3134199;1116981;7560556;1872902;1489848;"2007";"1"
"2006Q4";1118258;2849895;583722;787686;2641952;621569;4607955;3287805;8811067;1605731;5373668;3391200;2605689;7126701;14440427;4379869;1725713;1070012;4442344;3789629;5567830;1712038;1156364;2535766;2743485;2569574;2189966;3123764;1113069;7549319;1866365;1489189;"2006";"4"
"2006Q3";1113759;2828646;580243;785479;2634796;619639;4596063;3278939;8810780;1604188;5367411;3392293;2602917;7112378;14389178;4383660;1722411;1069511;4428063;3790405;5553922;1704713;1145305;2532949;2742309;2563290;2187505;3114029;1109474;7545950;1860777;1489742;"2006";"3"
"2006Q2";1109144;2807308;576706;783276;2627558;617783;4584171;3270102;8810259;1602617;5360959;3393110;2600081;7097672;14337078;4387247;1719210;1068915;4413553;3791099;5539495;1697107;1134128;2529972;2741101;2556819;2185072;3104175;1105651;7542283;1855066;1490173;"2006";"2"
"2006Q1";1104545;2785834;573124;781068;2620170;615860;4572032;3261097;8809340;1600929;5354368;3393927;2597057;7082687;14284640;4390789;1715915;1068319;4398955;3791498;5525050;1689692;1122977;2526922;2739585;2550438;2182514;3094243;1101748;7538343;1849388;1490660;"2006";"1"
"2005Q4";1099851;2764260;569614;778838;2612730;613900;4559804;3251984;8808152;1599187;5347594;3394614;2594013;7067620;14231611;4394090;1712545;1067751;4384121;3791899;5510425;1681988;1111797;2523763;2738133;2543899;2179873;3084206;1097822;7534209;1843562;1490937;"2005";"4"
"2005Q3";1095229;2742614;566023;776488;2605170;611884;4547460;3242819;8806795;1597454;5340647;3395207;2590922;7052222;14178474;4397279;1709135;1067086;4369233;3792127;5495687;1674321;1100622;2520704;2736685;2537327;2177199;3074053;1093954;7529808;1837703;1491278;"2005";"3"
"2005Q2";1090531;2721133;562478;774377;2597621;609970;4535050;3233613;8805180;1595661;5333664;3395766;2587705;7036820;14125333;4400527;1705719;1066365;4354266;3792351;5480898;1666617;1089343;2517348;2735023;2530732;2174566;3063880;1090025;7525321;1831920;1491602;"2005";"2"
"2005Q1";1085701;2699694;558895;772122;2590033;608045;4522579;3224349;8803344;1593845;5326498;3396202;2584544;7021248;14072200;4403571;1702303;1065718;4339241;3792522;5465912;1659086;1078205;2514110;2733475;2524092;2171906;3053695;1086257;7520690;1825980;1491874;"2005";"1"
