MES;ANIO;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31;E32
1;2012;2695;50202;89964;13486;6899;2664;33426;28663;124218;399;7039;22575;2890;83709;24204;5326;7260;30400;14942;17551;25828;5848;555374;4960;34197;11367;4436;93;202;10949;27609;2106
2;2012;4814;58351;103154;12864;6631;3262;32959;24020;180389;364;8700;26564;77;86708;23888;4749;14986;28982;14921;18353;24039;5927;567167;8225;41258;13004;5240;149;274;9231;30546;2222
3;2012;5629;70729;119133;17328;5790;3989;40865;31114;214884;215;9908;21614;55;89348;27965;4015;6921;32661;16679;18555;29137;6440;620795;14229;47825;13480;7743;375;299;27345;36992;2165
4;2012;4265;76779;96856;18487;7696;4447;33743;26974;215553;347;7571;13552;4631;61805;21608;5539;9974;18683;16133;13838;18570;5675;575779;10369;34251;12840;6338;355;384;10019;29899;2512
5;2012;4090;83050;84704;15320;6027;3627;25979;21664;170018;1331;5898;8292;41;54253;22461;2243;4810;19771;18603;7100;19438;5392;499674;11866;28475;12804;6076;194;305;4576;22191;1575
6;2012;3067;88966;81100;12730;6303;3446;17094;25351;196105;1262;5858;7119;486;52403;20503;1968;3348;21162;14862;7040;14709;9408;502833;10394;18493;10274;6965;189;561;2817;20049;1848
7;2012;3886;110663;90071;14152;9107;5457;28050;32306;190122;2166;8981;19540;170;61775;22430;3865;9967;21104;15039;10805;16691;6920;575472;3857;20478;12682;9026;1028;736;7161;28564;2630
8;2012;3188;79406;81473;14553;8656;4246;28246;26283;163842;1622;7104;18037;869;55500;22625;2410;6766;19342;22322;10255;26293;7464;547831;6304;15552;17727;7071;1881;511;42741;25017;2311
9;2012;3096;77779;58503;12887;8729;2087;19209;20362;187621;125;7632;11428;285;45114;20296;1767;3942;18367;19004;8663;28291;6801;403152;9839;11531;13962;5440;1321;611;39259;16662;1970
10;2012;3557;58182;86268;20054;5986;2997;26913;24606;192372;193;8843;14488;349;51704;20664;2155;16581;22100;21398;12675;22648;7237;417777;8021;26116;13586;6256;1191;576;41902;20277;2225
11;2012;3814;68852;104314;25090;8193;3882;36993;17456;183829;135;10181;16311;492;66277;16649;3852;15103;25250;19200;18192;35373;6667;533496;5823;39463;13230;7368;4646;1688;8972;33927;1691
12;2012;3032;58667;100898;22489;9771;3926;34082;24305;178303;155;8512;20826;1103;66038;12315;3500;14114;26396;19783;16625;40768;7198;583562;7823;49510;14117;7737;5081;1195;19791;30995;1882
