CVE_ENT;Entidad;a2005;a2006;a2007;a2008;a2009;a2010;a2011
1;Aguascalientes;3907;3101;3588;4067;4571;4420;4738
2;Baja California;21757;20320;21606;20390;20411;20661;20838
3;Baja California Sur ;14007;16096;17986;18168;18241;19268;19633
4;Campeche;4963;4931;5207;5780;6450;7017;7150
5;Coahuila;9393;9871;10040;10301;10418;10959;10871
6;Colima;5953;6630;6679;6735;6755;7655;7932
7;Chiapas;14038;14507;15283;16032;16689;17293;18110
8;Chihuahua;16434;16671;16696;17500;18683;19172;20623
9;Distrito Federal;47445;48409;48726;48776;48618;48534;48888
10;Durango;4390;4281;4376;4776;4776;4845;5041
11;Guanajuato;17282;18856;18753;19085;19512;20072;20740
12;Guerrero;26488;26593;29342;28670;28308;28239;27769
13;Hidalgo a/;8391;8683;8419;9152;9213;9213;10050
14;Jalisco;50683;52466;53969;55096;58827;60094;61358
15;México;17872;18448;20484;21875;22550;22862;23445
16;Michoacán;13767;12156;13933;15906;16243;16926;17154
17;Morelos 4/;7850;8807;7708;7691;7691;8095;8095
18;Nayarit ;20293;22969;24374;25596;26508;27285;27367
19;Nuevo León;11828;12287;13992;13302;13903;14267;14402
20;Oaxaca ;19360;21071;21391;22309;23484;24151;24730
21;Puebla;13203;13533;13822;14807;14891;15224;15658
22;Querétaro;7926;8239;8489;8859;9116;10085;10408
23;Quintana Roo ;63816;68260;73108;76305;80855;82983;84860
24;San Luis Potosí;8668;9552;9639;10315;10457;10693;10941
25;Sinaloa  b/;15514;15698;16055;17803;19026;19400;19743
26;Sonora;14321;14902;18345;18676;19195;19630;19881
27;Tabasco;8468;8681;9622;9914;10671;10704;10830
28;Tamaulipas;16864;18184;18700;20352;20624;20243;20125
29;Tlaxcala;2353;3180;3418;3513;3661;3724;3813
30;Veracruz;33396;34023;34548;36031;37064;37756;38553
31;Yucatán ;8650;8645;8880;9311;9404;10209;10540
32;Zacatecas;6359;6349;6553;6688;6740;6815;6874
