MES;ANIO;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31;E32
1;2005;3507;14479;11321;4345;7697;6391;12462;15249;42852;2823;14009;24608;6429;34005;10787;11037;7169;11885;11546;12337;9001;5911;57399;5976;12964;10032;5018;15523;2048;23688;6694;4353
2;2005;3523;14698;11392;4345;7730;6351;12535;15296;42897;2865;14034;24697;6461;34102;10863;11064;7092;11885;11571;12420;9047;5946;57585;5975;12960;10188;5057;15523;2024;23811;6743;4417
3;2005;3538;14916;11464;4344;7763;6312;12609;15343;42957;2907;14058;24787;6494;34198;10940;11090;7014;11885;11597;12504;9094;5980;57645;5974;12957;10344;5096;15523;2001;23933;6793;4480
4;2005;3553;15134;11535;4343;7796;6272;12682;15390;43071;2949;14082;24877;6526;34295;11016;11117;6936;11885;11623;12587;9140;6015;57753;5973;12953;10499;5135;15523;1977;24056;6842;4543
5;2005;3568;15352;11607;4343;7829;6232;12756;15437;43131;2991;14106;24966;6558;34392;11093;11143;6858;11885;11648;12671;9187;6049;57283;5972;12950;10655;5174;15523;1954;24178;6891;4607
6;2005;3584;15571;11678;4342;7862;6192;12830;15485;43195;3033;14131;25056;6590;34489;11169;11170;6781;11885;11674;12754;9234;6084;58689;5971;12947;10811;5214;15523;1931;24301;6940;4670
7;2005;3599;15789;11750;4341;7895;6152;12903;15532;43214;3075;14155;25146;6622;34585;11246;11196;6703;11885;11700;12838;9280;6118;55260;5969;12943;10967;5253;15523;1907;24423;6989;4733
8;2005;3614;16007;11821;4341;7928;6112;12977;15579;43214;3117;14179;25235;6654;34682;11322;11222;6625;11885;11725;12921;9327;6152;52698;5968;12940;11123;5292;15523;1884;24545;7038;4797
9;2005;3629;16225;11893;4340;7961;6073;13050;15626;43672;3159;14203;25325;6687;34779;11399;11249;6547;11885;11751;13005;9373;6187;52674;5967;12936;11279;5331;15523;1860;24668;7088;4860
10;2005;3645;16444;11964;4339;7994;6033;13124;15673;43672;3201;14228;25415;6719;34876;11475;11275;6470;11885;11777;13088;9420;6221;44350;5966;12933;11434;5370;15523;1837;24790;7137;4923
11;2005;3660;16662;12036;4339;8027;5993;13197;15720;43800;3243;14252;25504;6751;34972;11552;11302;6392;11885;11802;13172;9466;6256;26490;5965;12929;11590;5409;15523;1813;24913;7186;4987
12;2005;3675;16880;12107;4338;8060;5953;13271;15767;43662;3285;14276;25594;6783;35069;11628;11328;6314;11885;11828;13255;9513;6290;33310;5964;12926;11746;5448;15523;1790;25035;7235;5050
1;2006;3101;15685;12575;4264;8069;6014;10043;16739;43972;2935;14836;26575;6984;34414;12134;11270;9970;11885;12077;13202;9755;6442;39230;6272;12587;12282;5520;15523;2115;24939;7162;4709
2;2006;3101;15683;12308;4205;8078;5992;10039;16245;43782;3015;14782;26593;6987;34445;12120;11264;9854;11904;12096;13203;9761;6425;46585;6315;12534;12274;5519;15523;2115;24942;7189;4749
3;2006;3101;15690;12450;4226;8087;5990;10045;16738;43828;2990;14906;26555;6987;34489;12131;11269;10051;11903;12184;13202;9763;6445;49347;6374;12559;12282;5697;15523;2094;25131;7137;4745
4;2006;3101;15684;12341;4284;8096;6011;10034;16746;43822;2974;14837;26516;6986;34488;12128;11268;9843;11900;12123;13200;9766;6433;52651;6349;12529;12282;5698;15523;2115;25231;7137;4761
5;2006;3101;15555;12258;4271;8105;6029;10025;16658;44465;2963;14951;26328;6986;34545;12124;11282;9822;11900;12174;13202;9765;6457;54699;6385;12567;12282;5527;15523;2115;25175;7116;4758
6;2006;3101;15625;12098;4317;8114;6016;10020;16669;45420;2974;15021;26337;6987;34557;12127;11270;9788;11900;12162;13028;9749;6459;56033;6327;12559;12282;5651;15523;2122;25139;6920;4739
7;2006;3101;15626;12141;4317;8101;6004;10000;16668;45387;2974;15061;26396;6987;34456;12145;11275;9911;11890;12160;13018;9708;6474;56602;6326;12513;12282;5657;15523;2100;25123;7016;4752
8;2006;3101;15575;11783;4312;8087;6019;10033;16672;45842;2952;14982;26367;6986;34398;12283;11271;9923;11816;12197;12855;9712;6474;57386;6411;12426;12282;5638;15523;2059;24989;7045;4759
9;2006;3101;15582;11747;4321;8093;6010;10034;16665;45769;2951;14853;26273;6987;34249;12279;11252;9821;11814;12198;12607;9716;6477;57337;6416;12358;12282;5661;15523;2060;24974;7034;4718
10;2006;3101;15596;11897;4324;8099;6014;10017;16583;45769;2943;14610;26300;6987;34237;12308;11239;9910;11815;12240;12567;9710;6468;56371;6435;12348;12283;5641;15523;2069;25093;7066;4756
11;2006;3101;15562;12094;4279;8108;6007;10020;16602;45769;2999;14492;26427;6987;34417;12284;11272;9943;11878;12204;12905;9694;6474;58211;6461;12545;12080;5672;15523;2059;25075;7068;4750
12;2006;3101;15504;12207;4302;8112;6008;9991;16613;45717;2985;14400;26305;6987;34616;12295;11292;9866;11900;12105;12878;9695;6454;58345;6453;12584;12072;5669;15523;2071;25097;7055;4751
