MES;ANIO;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31;E32
1;2005;26099;211506;96185;77355;87217;94603;185185;164271;843710;27980;200978;406773;82395;366648;95039;156173;114844;72129;120239;154322;134379;76763;625085;78258;92034;167012;70730;146004;53072;321563;98310;42730
2;2005;30700;236760;103237;73560;85022;85978;175781;162152;895425;30012;202465;391117;81431;373506;111561;180755;98940;72129;138624;154846;137811;85727;607368;74918;88667;244345;72741;146004;53725;387766;101454;44194
3;2005;41016;294584;129296;109304;106781;119735;295890;209375;856194;41438;281155;539329;112685;470553;160840;270267;99258;72129;154837;233006;182457;113024;716027;121759;200300;306948;87771;146004;64136;494952;137251;97580
4;2005;43824;280628;107065;86652;96678;91449;202074;192941;926429;37384;192161;338850;86169;385557;178272;197305;103243;72129;148983;160309;151438;87441;596818;80686;120071;239764;76231;146004;49324;333420;108033;54059
5;2005;38793;288533;99308;109540;107668;95149;219321;212662;907706;39118;199337;454417;92127;375352;124996;217325;99665;72129;163355;166949;157353;96996;605226;87455;102521;143005;98681;146004;52624;309027;137972;52195
6;2005;28034;313038;107629;89931;110122;98831;184192;201260;945743;36190;186769;350845;78752;368142;113408;186529;92488;72129;160532;131507;150444;94295;629463;86405;141931;144941;72782;146004;48029;362784;101098;61639
7;2005;42143;395494;149147;119578;124427;124298;347790;210052;1023035;48956;310025;701629;111298;591864;163842;341847;152562;72129;183830;296317;195056;123810;640455;127295;235791;175916;106803;146004;59228;535512;165602;133445
8;2005;39319;373900;126267;105445;107155;99390;284692;180949;1029560;40242;248331;478499;90562;464872;147504;249914;111111;72129;169630;190500;172393;111196;563927;109988;193436;161754;83919;146004;56524;454526;129201;91503
9;2005;37035;313263;99092;74002;94575;69237;185816;167661;1005129;39780;215435;312947;85506;353305;138166;210804;102198;72129;153557;136639;144724;94544;378425;91032;127859;153323;69570;146004;49923;333095;92614;81286
10;2005;41470;302889;121545;75999;103014;71311;159510;182160;1053141;32486;229933;303718;96998;394550;145596;219147;95536;72129;162986;137932;158267;106782;293833;101201;131449;163070;79743;146004;55382;303557;126369;75056
11;2005;36724;294766;137380;79130;96707;84910;211385;181267;1059223;31616;222299;363265;103587;423528;137519;214711;92999;72129;151186;178017;163835;89588;143151;92843;137162;223445;95136;146004;67330;312669;116452;62659
