MES;ANIO;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31;E32
1;2005;1629;72599;64420;22239;9260;21650;38172;33598;248630;1217;13646;54659;844;93054;4585;13159;11574;43786;19876;28781;15004;5203;517890;7731;43259;53207;6213;3635;9683;10404;31392;2986
2;2005;1672;87214;71825;25353;9224;23724;46809;30347;258376;1797;16551;48317;1213;97560;4927;15422;8905;43786;24010;31705;15727;6586;502174;6921;39801;93111;5195;3635;4194;13253;35184;3021
3;2005;1834;126370;87443;27197;13802;20546;50397;47185;216953;2425;23877;56681;825;101901;8865;16295;9358;43786;22720;31284;18182;9657;581055;7324;38548;108926;4981;3635;4215;16385;42547;3607
4;2005;2106;119606;75495;23165;11476;16956;44116;33865;255707;2094;13086;28787;462;74274;5094;15457;7911;43786;20392;19753;15080;7492;487989;5031;21766;43653;3716;3635;3061;6990;32097;2191
5;2005;2102;120827;68568;17003;13264;14346;45660;35645;274135;1789;10875;26387;831;61039;5850;14554;8870;43786;28287;14920;16385;8714;486891;5619;12559;37090;3585;3635;3964;15739;29675;3191
6;2005;1775;120239;73782;13101;13281;26470;30554;33269;269397;1596;13405;25548;1004;67281;5295;11524;11687;43786;28243;12037;20067;8731;505068;6452;21635;47460;4405;3635;1817;14910;24959;3986
7;2005;2115;159239;87378;22158;16666;6609;49551;40150;268823;2106;18500;30038;1456;80887;8346;20518;7557;43786;32144;20745;21220;10313;450617;9010;16125;44411;4009;3635;2889;22983;33229;6707
8;2005;1795;144062;77794;33190;13309;4506;67599;35445;277344;1496;12857;22546;1045;66217;6169;13338;5428;43786;30526;22211;19792;11585;416679;6320;21949;38044;3486;3635;3876;19912;36466;6145
9;2005;1668;121177;60031;14131;12809;3748;37307;30388;269649;1712;9923;11340;764;44519;9435;10005;6532;43786;27038;11526;15289;7439;276099;3880;13334;47285;2692;3635;3642;15387;20518;3791
10;2005;2135;110431;77851;20000;9049;5531;44947;35677;336671;1063;13083;15763;509;62068;7856;15365;7285;43786;31691;22854;17107;10953;229764;5769;25575;41911;4325;3635;4220;16061;36938;4661
11;2005;3204;118353;92360;17161;8297;10469;54524;34804;337509;973;11259;30815;1085;91186;7661;13471;6422;43786;26916;24567;16944;6952;103098;5518;34189;42567;4356;3635;3750;14217;25642;9539
12;2005;2019;95713;84220;13241;9064;11654;40843;33838;228811;1137;12629;29162;8432;99039;6475;14128;7106;43786;23142;23926;17474;6785;209515;6673;49281;46709;2971;3635;5058;15812;22448;11662
1;2006;3059;84734;94631;15559;9265;14448;35676;25004;218486;957;8728;45874;1620;98588;8844;23924;7933;43786;23014;32497;16970;4950;293385;6211;44220;36291;3984;3635;3152;10685;30099;14307
2;2006;4390;93829;115642;17692;9466;13946;35548;26020;227252;1262;12585;40709;2068;99918;9325;27238;10468;39527;28902;35345;18011;5316;364080;7916;43384;126008;4041;3635;2757;12113;32987;14769
3;2006;3646;113329;141588;19640;9668;14488;46882;35880;260394;1449;10862;39491;6053;104310;12233;23492;7938;47600;30888;37654;17465;7572;410919;10615;44749;123526;4605;3635;3372;12819;35199;12977
4;2006;4423;120411;115871;15758;9869;7958;43329;31299;187730;739;8586;22862;10919;77539;8300;16145;6189;37549;25280;25826;19788;7547;394726;10350;24981;75668;4474;3635;3073;13090;27571;13304
5;2006;2148;113943;104324;13885;10070;6124;27070;32045;265450;819;6594;12979;2889;60669;11427;17033;5846;34261;34148;16558;17704;6713;381133;7115;20065;55703;4105;3635;4752;12819;25431;11190
6;2006;3517;121465;100434;12342;10272;2739;20777;29748;217032;695;8206;15117;3563;65281;12681;17853;5576;31662;28579;14478;17821;6644;413160;9224;21821;34529;2954;3635;1837;14550;21416;13584
7;2006;4470;143211;97507;18982;10473;3367;33036;38631;255678;950;11555;17003;3981;81657;10144;27358;7363;36326;26935;25406;21231;7885;440067;21415;19016;20404;4283;3635;1539;15173;29719;21254
8;2006;5477;142536;89997;32447;10674;5709;41647;32634;258562;880;9098;13649;5262;66732;12396;30991;7121;29620;24604;21477;19425;7702;396491;9737;16237;35875;4482;3635;2698;13337;28442;17131
9;2006;3666;123979;53728;10068;10876;2229;22021;35245;200433;743;7846;10206;1058;45089;8005;24382;6657;24044;22117;7169;15478;7094;253524;8137;10229;27502;3494;3635;401;8451;16455;13892
10;2006;4016;102643;82542;14276;11077;2821;30329;35997;230873;725;9213;14069;1140;58433;11761;26260;5473;35371;24761;12891;18279;8604;276839;7096;19827;48680;3578;3635;1135;12598;22382;10404
