MES;ANIO;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31;E32
1;2004;3091;82763;25755;19502;9411;5985;37806;34614;215056;852;12249;96987;633;93390;10311;8898;2123;58923;17437;21337;27357;5978;393678;5150;26315;54017;5492;3635;3081;14500;31161;3175
2;2004;3647;90496;27691;19306;8347;6783;47515;42617;209203;573;17173;125082;559;95594;12511;11674;1055;60274;18791;24693;28269;6256;444961;4587;41969;46997;7489;3635;3087;12038;33132;2900
3;2004;4412;102659;34465;21357;8741;8097;49020;57971;212626;372;17019;118793;1224;90192;13539;8496;10970;80806;21705;25633;32596;8072;485433;6155;31680;77339;4208;3635;3682;16679;36436;5380
4;2004;4693;125891;32291;16725;13812;5515;46536;34904;206380;290;11212;62476;616;65525;8169;6642;2200;55596;16320;16810;30767;6881;440949;5173;10789;95730;3614;3635;3446;12767;25925;7088
5;2004;1785;119684;25865;14102;15513;2554;32670;39349;226543;751;8528;41056;1072;57347;9182;9410;1373;44782;22453;11948;30381;6872;413545;3452;9979;62120;3536;3635;3865;10289;26795;3228
6;2004;1910;115293;22468;12296;15456;3193;25865;41179;221929;351;9911;36316;1294;58102;7063;9370;1544;35644;21717;11341;30325;7774;455747;5201;14153;48552;4733;3635;3243;15733;23872;4829
7;2004;2175;151399;49949;20354;17241;3395;46711;47907;238847;1069;13598;42156;2083;73244;4290;10966;1922;39577;22799;20911;34899;11338;500029;11909;10437;60133;6147;3635;3788;20904;28540;10860
8;2004;2029;138364;42988;34368;15295;2660;60952;46379;242490;1439;11367;36783;1178;64575;5478;9878;2533;30933;22042;22040;32985;10140;461904;5267;8606;59111;5761;3635;3034;15764;34587;8952
9;2004;1724;111768;21754;14397;12976;1507;33211;47343;212808;1260;9842;21176;1322;44220;5411;5439;6900;37669;19814;12220;29361;8260;304018;3526;5009;47875;5211;3635;3123;12002;21701;3248
10;2004;2028;95254;57974;20961;12701;2294;44630;37229;291190;2808;10868;23304;712;55242;9699;10192;9161;47696;25465;22608;34662;7799;345656;5793;10801;63499;3726;3635;8386;13735;29313;4281
11;2004;1824;97836;55503;27189;12319;8970;52478;32849;280219;2301;10287;31186;767;67274;7100;11307;9785;62925;28214;26255;32652;7634;391475;4569;18996;38884;6820;3635;7893;9686;33907;2158
12;2004;1744;92487;56919;16604;9897;14580;42286;37517;194720;1373;11807;33549;483;76770;5505;14076;17320;52654;20590;22528;29394;5222;426904;5498;36233;51951;5717;3635;5034;8851;27491;4710
