MES;ANIO;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31;E32
1;2005;51377;287799;368969;97121;108620;224964;251669;331647;1769624;31273;293593;767484;95700;1022785;147085;231147;140141;319673;222661;304999;219565;115837;3185190;121842;489086;239843;106534;217790;63895;498272;183748;61644
2;2005;58717;318600;405809;101774;103273;198091;248772;322852;1857391;33269;291734;725301;91085;1065637;161121;273250;144450;319673;264947;311741;224085;135777;3166476;120922;472144;277811;115711;217790;67128;658581;185394;62983
3;2005;87049;402806;539849;149419;129296;267848;408443;376453;1836426;44076;405906;1010567;139551;1341279;264502;399922;173490;319673;293841;439766;296239;194174;3667169;215339;568509;326345;141735;217790;79533;855622;248236;158309
4;2005;99583;384220;428544;113637;122942;193852;275593;336511;1934955;41956;270409;595970;100586;975080;280992;282975;168960;319673;280431;284240;244481;149293;3091269;142344;316080;314088;121202;217790;60752;534942;195669;81058
5;2005;85507;391648;404199;173356;132546;206247;330617;377876;1818541;44378;290640;729674;110891;909126;194496;300440;143344;319673;306759;288941;257695;164494;2947049;148626;238248;332531;178544;217790;66328;575854;269510;80789
6;2005;60364;434680;441679;129525;143856;201793;252187;394844;1949924;42018;262372;586379;99329;879256;195735;258421;128917;319673;308385;245344;239049;155100;3222512;139295;363366;314265;125669;217790;58814;577975;190836;91883
7;2005;86912;553594;507410;152673;161133;301878;466147;400045;2147585;59595;443115;1183988;132104;1489100;242552;463573;259653;319673;388617;517025;304739;212794;3185037;202585;796016;334869;174653;217790;74736;945803;305037;191208
8;2005;75372;526983;453696;127388;141279;227659;384753;347311;2159140;49114;357579;837615;118017;1141320;221314;347384;193822;319673;357190;346949;268859;181710;2902473;179560;574487;304448;142155;217790;67747;799795;229072;152018
9;2005;74623;433260;336698;98326;140870;138447;273817;328600;2092855;45160;318460;483291;106432;739799;198236;300597;188887;319673;300889;234370;228784;156646;1946401;144752;326059;319859;125238;217790;60809;563054;177627;141231
10;2005;80175;419330;417063;99556;144257;142745;289739;377869;2221299;52144;361342;497924;123561;859769;204682;317359;152561;319673;330743;246030;246062;166742;1440883;180151;371566;314475;139893;217790;67535;523834;229285;122011
11;2005;68138;423520;461688;110776;136442;172277;314644;357735;2189024;54115;336649;638040;118925;1049327;192977;321130;153496;319673;299552;337011;258381;151894;553443;158791;452140;399269;171363;217790;81419;524204;229311;96738
12;2005;68914;373976;491864;111477;130385;228548;342348;320809;1814482;48344;355803;938882;111597;1191586;226051;363209;190311;319673;259290;425028;250769;178070;1291582;153066;574672;366181;136839;217790;73177;741705;214535;126527
1;2006;56927;317950;547844;95991;131530;232159;214675;264808;1553470;33518;271066;940294;90487;972660;205391;318220;195420;319673;224361;416428;221860;105923;1942196;101557;498561;279948;136438;217790;59159;372580;211747;101677
2;2006;59388;360760;562898;106035;132675;203707;214391;267107;1722128;34302;262723;870409;84151;973290;228763;312221;198645;300106;280678;363186;235825;107913;2230527;88332;490855;475820;129635;217790;60854;406157;196298;105672
3;2006;78071;395118;671346;133232;133821;244121;245687;344383;1962766;42334;292048;966447;110062;1049712;286795;361965;268350;334508;316094;425330;252970;142109;2680267;121853;531745;536408;168032;217790;69603;445843;216033;127257
4;2006;112312;446659;601820;132063;134966;304703;293213;362157;1431689;36602;322538;1062132;133625;1020261;295880;434813;290554;312629;292897;495661;284823;162519;2598855;132040;635441;488134;186643;217790;62207;583609;217824;177879
5;2006;97750;428728;533119;110749;136111;211436;216592;372375;1598262;43793;245500;787234;123893;788184;233452;315778;217698;313608;308286;353926;251999;133297;2473872;113793;412322;443940;176729;217790;154626;393924;208359;108671
6;2006;64086;422644;532883;99282;137257;179427;192828;341161;1588909;38063;258708;538333;112680;742494;213263;316511;188852;313473;280824;279440;228319;121110;2680291;99227;419812;440069;158289;217790;52810;344307;171862;122624
7;2006;93461;520522;614341;154325;138402;291734;298017;400654;1920346;60527;393373;954483;145660;1194936;248939;503324;269040;399612;346491;463594;313403;160461;3107868;161817;707850;418046;220973;217790;57435;557945;254886;222040
8;2006;81405;479992;534521;146359;139547;231078;268437;386015;1867733;48228;339672;742522;168447;981112;258267;441936;266692;349121;331738;316385;285319;156292;2820998;133526;522430;393525;196732;217790;54751;460403;220632;182805
9;2006;72105;413090;328485;113155;140693;128057;181881;370298;1674015;40093;287133;402597;137402;640052;251393;318345;203927;199642;282760;166385;245462;139773;1718239;120452;294892;358466;167273;217790;41786;326111;162465;171047
10;2006;85523;385830;457542;104907;141838;159457;213352;400742;1718815;44864;310885;436772;125340;708177;245405;357087;207733;231668;327163;177123;252240;136517;1826843;121724;359486;435953;201342;217790;47190;363097;185425;120433
11;2006;82353;393738;511138;132286;142984;201828;246665;388685;1788728;46196;311761;576740;151937;859676;278001;380179;222724;281607;319943;217829;270698;156603;2383102;120052;434309;409913;172865;217790;50063;396699;230513;133623
12;2006;78945;347065;505764;133996;144129;259084;258649;351983;1567821;42969;311391;880880;140709;947156;273842;429875;236238;331493;253485;307286;254376;147464;2713637;123846;486993;348191;177832;217790;48488;452485;230776;131760
1;2007;50916;315318;549112;113197;145274;225273;285970;333912;1653259;48078;300809;995893;94527;1120246;249166;209150;157846;304309;277542;331327;223767;163099;3344609;112920;459233;341814;131746;217790;42586;595873;198445;82222
2;2007;52282;342604;576726;117431;146420;197752;269263;360355;1512189;46177;288843;884490;102066;1114415;272875;236917;144791;290509;324578;329434;220530;169183;3253100;113635;476245;352579;128567;217790;39328;629898;200379;73702
3;2007;67059;431376;711864;147168;147565;192877;334342;407973;1636696;57815;331488;928369;109534;1166499;365447;276365;185366;342051;407297;334533;272308;204404;3704457;156551;499483;472190;157098;217790;48614;741559;224894;116277
4;2007;90642;430140;653078;138944;148710;278242;400066;354648;1403000;51898;377863;1104096;138719;1186807;346667;316083;230070;338425;394274;432740;272993;207798;3577735;187564;557325;413629;165152;217790;51347;892211;219171;149569
5;2007;78057;436185;559099;103679;149856;181983;265197;412454;1375175;52091;288580;834940;138112;927039;332713;280930;170781;255846;376198;305307;296860;182277;3003612;150153;403181;370581;165132;217790;46018;753960;189879;105464
6;2007;56506;452611;589809;105978;151001;175912;259346;371239;1646896;55040;303867;654360;114925;920481;299615;256001;152714;243080;339166;243057;256882;182442;3210419;153335;434104;382584;144837;217790;50879;665707;186267;102719
7;2007;77144;542784;662928;152771;152146;273024;441901;423058;1813403;78373;410749;1164956;135867;1385282;364475;362624;216658;336082;402935;422876;300458;233755;3881859;222411;752141;440169;186799;217790;57186;984444;314916;195442
8;2007;71525;560178;634015;136200;153292;217416;371649;400999;2062952;67862;357627;880635;142327;1199115;328196;299955;206477;313033;420663;334043;265110;218629;2973854;187852;564140;398749;170772;217790;49095;819981;240999;160126
9;2007;56260;407241;404818;101940;154437;113241;237911;411448;1697049;58528;293870;406793;128929;764707;269298;256911;153300;194900;365549;181179;226157;179737;1905421;166298;298632;355470;131583;217790;42524;593551;161710;138386
10;2007;73264;371026;535820;118692;155583;143664;282052;467947;1924259;60725;365868;564840;122116;906303;314822;291326;152277;247175;432286;226223;241976;182884;2153844;189996;369229;387747;151452;217790;47209;611987;194092;116252
11;2007;75380;384336;574975;133316;156728;179147;311408;412398;1812517;63152;376305;696169;124008;1088498;320820;315348;184441;281099;406836;364938;267440;201973;2679624;183470;481888;374090;123309;217790;47930;666253;263793;129219
12;2007;57506;348184;540467;140862;157873;232260;368752;404253;1522539;61010;351027;974139;155785;1170943;283937;298558;209085;302476;301569;444754;251207;204242;2971821;172826;497363;329913;160126;217790;46563;763287;254428;121883
1;2008;58782;270651;536658;106861;159019;192208;276122;501873;1583457;67813;282495;771440;96189;1126705;301056;237934;169646;554886;254650;362543;231996;139662;3449578;157438;485911;246600;166637;217790;26059;443977;227269;80885
2;2008;70788;299204;575852;119556;162760;186133;283119;513697;1781433;65759;305888;849675;104322;1216133;331904;282807;179108;523028;330926;323823;239982;153176;3568394;163322;513708;291575;151780;231591;32515;574774;238899;91322
3;2008;89093;363994;726542;142283;184024;251117;463223;554446;1584409;66716;390773;1109090;122769;1420557;371078;365956;246167;610403;399229;446846;311010;197815;4118322;214625;648843;335441;187975;389569;38468;759642;298502;157329
4;2008;93765;330200;538442;115157;184751;156633;288972;513329;1853094;59885;269513;700036;91005;1037546;332988;240289;169181;513144;344262;318480;255346;161045;3433814;157139;437769;299965;156688;246687;30603;557929;218498;86158
5;2008;108495;362418;545486;113935;203736;185626;309791;508634;1578728;60948;323833;835694;108311;1051535;349514;289008;186281;561910;469413;385196;287338;183444;3168648;238634;456698;347196;158856;407696;34102;584008;238589;113430
6;2008;69164;337500;533157;92687;205874;148909;267105;467848;1528430;61016;275243;702482;92914;888041;313869;241659;167428;564884;305930;249075;261239;147840;3357625;169625;468610;322707;152543;433586;28891;480751;203125;94543
7;2008;85649;414462;588705;156703;234826;240371;427272;578927;1578015;86801;410365;1090527;111097;1490187;372834;408520;229948;732159;435203;512340;336924;201520;3954699;242644;796208;378737;193418;522729;41887;700382;313167;175500
8;2008;78482;415600;536755;134854;199668;197198;353049;502297;2369660;66844;337335;936995;112726;1179818;316565;322522;211810;608115;393056;356611;293857;179743;3354667;210066;561512;321805;175717;465512;44815;648325;246723;147086
9;2008;63080;304857;355027;103817;174341;114421;234934;464298;1786040;65892;317697;587536;107619;766508;291359;235746;145915;344784;328434;222559;266804;164097;2002572;177310;326206;263284;139084;370735;27999;484096;191764;144455
10;2008;84947;299200;417273;116030;192150;122287;286097;478138;1923181;69326;333504;582282;117484;839127;304789;293763;146832;394647;367127;261366;298609;160703;2186245;177128;385647;318910;126053;375829;35589;452270;205993;143404
11;2008;68303;316132;463286;128403;177888;161039;310508;436627;1848087;58047;336643;692099;94287;984803;297865;337099;177553;498608;305061;360918;302384;156904;2734563;168438;464631;294227;143979;413443;37191;482763;244494;164093
