MES;ANIO;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31;E32
1;2005;5822;93337;305631;27386;11617;56221;55769;58245;552912;1302;24878;271127;1467;485859;11974;21954;15009;243509;40154;99002;33135;10456;2838474;12060;360563;64888;8844;8150;11759;20315;62552;4046
2;2005;6288;113890;336614;29590;11706;61569;65233;51523;555201;1864;30924;286477;1263;532678;14476;25402;11280;243509;45119;108269;33036;12426;2837511;11717;331207;113388;9477;8150;4998;43891;63344;3845
3;2005;8589;171032;439506;32182;16147;48078;72271;69393;479217;2979;41663;263747;881;540208;30833;26836;13357;243509;45949;94419;38290;16975;3224627;12029;211402;114025;8834;8150;5002;49617;73328;6329
4;2005;8085;156734;356153;25823;14523;23414;61406;52381;569320;2220;21452;118310;519;328368;17928;24673;10563;243509;39401;50551;33416;16062;2726153;9632;96478;94218;6038;8150;3737;16846;55380;3319
5;2005;6457;161335;326461;18847;15709;19052;61549;56453;566172;2365;18697;68118;848;246212;15725;21591;12129;243509;48222;32357;32633;16541;2535413;11834;54868;99502;7609;8150;4661;45112;55533;5548
6;2005;7982;169393;356528;15485;16395;30745;41529;64526;557404;2309;22082;66433;6294;246096;19947;15767;14553;243509;48458;31489;36414;16870;2805724;10229;86780;106298;8193;8150;2165;32544;49073;5495
7;2005;10058;219552;360402;25722;22856;11353;71319;65958;554672;2342;31266;82125;1456;316912;18930;32045;12571;243509;63115;48139;39321;18914;2484056;13844;52331;78945;6447;8150;3408;47646;61248;11093
8;2005;6244;201529;341317;36043;18444;8870;96266;52327;586511;1580;23627;72460;1161;265796;13099;20067;11975;243509;57434;50306;35687;18434;2346122;10547;100451;69940;5846;8150;4587;47717;62635;16537
9;2005;5094;163785;248869;15496;24411;6758;57402;47061;581914;1909;18987;36052;953;148771;13542;16261;11414;243509;49807;23542;28827;12749;1579856;6934;62411;108426;4657;8150;4334;28369;38057;8571
10;2005;6452;147557;322023;22315;14874;9415;65986;56725;719170;1990;26071;54780;710;209350;13173;24283;11837;243509;53842;48774;31685;16784;1221743;11268;137454;77684;7934;8150;5014;35385;67457;9741
11;2005;7455;169782;356125;19136;15906;23778;79025;59300;708008;1791;24081;138225;1308;376856;12232;21954;12446;243509;46765;65006;31830;13504;450781;11910;215741;77996;8363;8150;4497;33573;45100;20381
12;2005;6005;129983;386807;16741;15023;26964;58632;55681;501720;2306;23615;142921;8609;415790;11096;22668;10997;243509;39124;66365;30405;13170;1106994;10559;259877;87061;5548;8150;6055;30887;43029;23528
1;2006;7105;112885;454294;17886;15854;50819;48307;36408;493702;1679;19715;254658;1652;475059;15962;30670;16610;243509;41651;110938;30146;8821;1725951;10668;277059;66057;7451;8150;3826;18775;60927;23888
2;2006;10283;129472;470771;21322;16686;55303;52059;37851;470400;2447;30664;304405;2158;488765;14951;36708;18639;230170;50788;112749;30950;10067;2017537;11216;288101;205417;7033;8150;3363;23018;57816;23402
3;2006;9122;148478;562264;22193;17517;44848;67200;52094;571902;2818;27422;243397;7843;494825;18434;29933;12065;257378;56646;105946;32346;12435;2367721;13432;292938;189025;8957;8150;4193;22597;65390;19718
4;2006;10080;171446;472886;17810;18349;21069;58151;44602;395182;1351;19967;112408;14024;304088;14507;21978;8868;199805;45158;58630;35994;12368;2190871;13467;139519;164230;8829;8150;3639;25043;46366;20295
5;2006;6826;156564;412476;16128;19181;10261;38491;47456;524561;1819;13973;48889;4186;225519;16771;22297;9119;173000;60865;39344;30904;12141;2083897;11622;118119;129463;7410;8150;6006;25459;42394;18376
6;2006;6775;175155;410486;14771;20012;6026;31235;45845;431157;1245;18914;49498;4522;244119;17126;23334;9557;167912;54521;37720;32590;11812;2275362;12755;117779;81729;5947;8150;2192;28304;40356;22255
7;2006;7580;199027;420306;21872;20844;7554;50213;54023;528427;1675;26032;57939;6557;279010;13393;35545;15951;189889;62431;60346;39602;13094;2413743;24807;82088;51307;7171;8150;2515;33376;50166;36160
8;2006;9683;193044;381977;35529;21675;9165;61451;45757;514059;1641;18982;49159;6597;239866;17497;39614;10796;168270;54811;54292;35259;12881;2217657;13642;74428;86511;7424;8150;3500;26962;51574;33870
9;2006;7162;164548;207969;10902;22507;3738;31818;49693;431982;1295;15953;28767;1356;147327;11451;28197;11639;98869;47939;21213;28833;11044;1345825;10588;45399;70239;6616;8150;858;14877;28170;23518
10;2006;7288;135585;347087;15841;23339;5717;42240;53634;476543;1324;18318;40175;1677;180306;16247;34638;10007;121286;50706;28914;32736;14379;1502728;10042;100417;102794;6775;8150;1613;25223;44166;17048
11;2006;5973;147998;362668;25080;24170;16210;66049;54963;486408;1295;20917;81142;1884;276623;12452;39831;18401;162247;48781;34062;34356;11154;1935145;10975;175637;101950;8445;8150;1850;21401;54740;16019
12;2006;5008;118736;373953;22260;25002;26981;46010;58415;367638;1378;20484;115520;1603;335612;7605;38422;12239;183148;37874;52405;35062;10531;2222223;11545;205068;83195;5565;8150;756;15280;48360;20857
1;2007;2989;94545;424683;28139;25833;46959;62471;50949;468674;1451;23077;261758;1950;526562;9768;13855;10275;233622;46159;79445;33915;13761;2998391;5627;247325;87644;3529;8150;1370;26569;61622;9726
2;2007;3056;109103;441381;27830;26665;54839;69411;52563;423683;1761;25811;312427;2277;533410;9782;16869;12563;222264;44395;84837;35262;15592;2919621;8076;249990;103863;4205;8150;1273;23481;61892;10938
3;2007;3294;151303;565800;30549;27496;34989;80299;54559;493736;1415;27212;224990;2424;484341;9220;16078;10634;235179;57013;80497;40640;17043;3258549;8665;257728;149257;5225;8150;1372;23355;72220;12384
4;2007;3679;148681;507841;19494;28328;16297;66022;47047;353430;1380;18475;98149;4400;335318;10059;15426;7954;209056;47982;47104;41553;13448;3027976;5787;118768;105477;4600;8150;1273;24466;54318;11096
5;2007;3208;143472;436198;11997;29160;6133;41099;51726;410624;1321;16463;47843;1677;242607;12051;17369;8642;117378;52325;28534;41375;14521;2523594;6940;103721;93984;4692;8150;1251;21776;41872;9564
6;2007;3665;169179;455843;10214;29991;6637;32660;47078;420487;1193;21008;58593;1290;256782;10054;9510;11035;140257;53083;25430;40161;14383;2703786;9211;118351;61698;4350;8150;845;18389;43605;11499
